job_title,company_name,location,salary,salary_min,salary_max,skills,description,benefits,employment_type,industry,posting_date,snapshot_date,deadline,source,url,crawled_at,experience_required
Automation Tester,Smilegate Vietnam,Quận Bình Thạnh,You'll love it,,,"Automation Test, Playwright, Scrum, Selenium, Appium, Agile","Top 3 Reasons To Join Us
Budget for individual learning & development
14+ leave days/year;  premium health insurance
Dynamic and open working environment
The Job Key Responsibilities Build a scalable and robust test automation framework from the ground up, tailored to our company platforms and service’s need. Develop comprehensive test plans, strategies, and test cases based on project requirements and technical specifications. Selecting the most effective frameworks, tools, and technologies","Health and Wellness Premium health insurance Safe, ethical, secure, and healthy workplace Financial Well-Being Competitive compensation package Annual bonus program Personal Development Budget for individual learning & development Work-life balance 14 days of annual leave, increasing by 1 day each year Flexible working timeframe Workplace experiences Modern working equipment Well-stocked pantry to relax and recharge. Engagement activities (monthly team bonding, yearly company trip…) Sponsored sp",FULL_TIME,Information Technology,2026-05-27,2026-05-28,2026-07-01,ITviec (Wayback),https://itviec.com/it-jobs/automation-tester-smilegate-vietnam-5605,2026-06-08T01:38:59.289471,
"Backend Developer Java, C++, OOP, Spring Boot",CÔNG TY CỔ PHẦN METAFORCE,Quận Nam Từ Liêm,Very Attractive!!!,,,"Java, Spring Boot, GitHub, OOP, C++, SQL","Top 3 Reasons To Join Us
Mức lương cạnh tranh, 2 tháng thử việc 100% lương
Môi trường làm việc trẻ và nhiều cơ hội phát triển
Phúc lợi rõ ràng, chính sách minh bạch
The Job Participate directly in the design and construction of the software system architecture Participate in the construction and testing of products to ensure progress and quality Perform reviews and obtain optimal requirements from management Building tools for the development of the Railway Simulator system Your Skills and E","Chế độ lương thưởng Mức lương: thoả thuận Thử việc 02 tháng: 100% lương Các khoản khấu trừ: Tạm khấu trừ thuế TNCN (10% trong giai đoạn thử việc, biểu luỹ tiến trong giai đoạn chính thức) Trích đóng bảo hiểm (sau khi ký hợp đồng lao động chính thức) Thưởng năm: theo quy chế công ty Thưởng dự án: theo quy chế công ty Xét nâng bậc, tăng lương hàng năm Chế độ khác Tham gia bảo hiểm sau khi ký hợp đồng lao động chính thức Sinh nhật Phụ cấp thiết bị làm việc khi công ty chưa cấp máy, phải dùng máy tí",FULL_TIME,Information Technology,2026-05-27,2026-05-28,2026-07-01,ITviec (Wayback),https://itviec.com/it-jobs/backend-developer-java-c-oop-spring-boot-cong-ty-co-phan-metaforce-4714,2026-06-08T01:39:22.898350,
Chuyen Vien QC Phan Mem QC Executive,Kingfoodmart,Quận 7,24–35 triệu,23.75,35.0,"QA QC, Automation Test, Tester","Top 3 Reasons To Join Us
Đãi ngộ hấp dẫn, thu nhập phù hợp năng lực
Môi trường TRẺ chuyên nghiệp, sáng tạo,cạnh tranh
Được đào tạo nâng cao năng lực
The Job KINGFOODmart là chuỗi siêu thị bán thực phẩm nhưng không chỉ dừng lại ở việc cung cấp thực phẩm, chúng tôi muốn lôi cuốn và truyền cảm hứng cho mọi người - những người tiêu dùng cuối cùng - về một cuộc sống đầy sự thú vị thông qua ẩm thực. Chúng tôi hân hoan đón chào bạn gia nhập vào đội ngũ, với vai trò QC Executive MÔ TẢ CÔNG VIỆC: Lập","Môi trường trẻ chuyên nghiệp, năng động, sáng tạo, phát triển, có nhiều cơ hội thăng tiến Được đào tạo nâng cao năng lực, thoải mái đề xuất ý tưởng để nâng cao hiệu suất làm việc. Được hưởng đầy đủ các chính sách về lao động theo luật lao động về Lương, thưởng, nghỉ Lễ, Tết Trang phục tự do, phòng làm việc rộng rãi đầy đủ tiện nghi. Đóng BHXH full trên mức lương cứng",FULL_TIME,Information Technology,2026-05-27,2026-05-28,2026-07-01,ITviec (Wayback),https://itviec.com/it-jobs/chuyen-vien-qc-phan-mem-qc-executive-kingfoodmart-0249,2026-06-08T01:41:34.142513,
Fresher C++ Developer,DTS Software Vietnam,Not Available,You'll love it,,,"C++, Windows, Unity, C#, Fresher Accepted","Top 3 Reasons To Join Us
Attractive 13th Salary & Performance Bonus
Amazing training and development opportunities
Premium Health Care & Insurance
The Job Tham gia dự án về triển khai phần mềm ứng dụng Window Apps về thiết kế kiến trúc cho khách hàng Nhật dưới sự chỉ dẫn của Mentor, Leader Thực hiện các yêu cầu, hướng dẫn của Mentor bằng ngôn ngữ C++ hoặc C# (Unity). Your Skills and Experience Tốt nghiệp các chuyên ngành về CNTT, Khoa học máy tính hoặc các chuyên ngành liên quan Có thể đi là","Thu nhập = Lương theo giờ + Phụ cấp gửi xe Được tham gia làm và học hỏi từ dự án thực tế dưới sự hướng dẫn của mentor dày dặn kinh nghiệm Bên cạnh lộ trình đào tạo On Job Training sẽ được tham gia đào tạo về kĩ năng mềm như: Văn hóa doanh nghiệp Nhật, Nội quy lao động,… Tham gia các sự kiện do công ty tổ chức tại thời điểm làm việc.",FULL_TIME,Information Technology,2026-05-27,2026-05-28,2026-07-01,ITviec (Wayback),https://itviec.com/it-jobs/fresher-c-developer-dts-software-vietnam-1054,2026-06-08T01:44:40.004081,
Machine Learning/AI Engineer English,Chotot,Quận 7,You'll love it,,,"Machine Learning, Machine Learning, Cloud, SQL, Python, English, AI, English","Top 3 Reasons To Join Us
20 days of leave per year
Regional learning opportunities
Premium healthcare 
The Job Translate ambiguous business problems into well-defined ML/DS problems. Investigate the real issue before proposing a solution, scope the right approach, and know when ML is the wrong answer. Set technical direction for ML initiatives in your problem area. Make build-vs-buy, ML-vs-heuristic, and model-architecture decisions based on cost, latency, complexity, and business impact — n","• Working in a young, dynamic, and supportive environment. • Receive 100% salary during the probation. • Social insurance full-salary for employee in the probation • Premium healthcare for employees. • Get 15 days of annual leave + 5 days of sick leave + 1 birthday leave + 1 Christmas day leave per year • Get a 13th-month salary and annual performance bonus. • Laptop device will be provided • Participate in regular team-building activities and company parties. • Learning and career development o",FULL_TIME,Information Technology,2026-05-27,2026-05-28,2026-07-01,ITviec (Wayback),https://itviec.com/it-jobs/machine-learning-ai-engineer-english-chotot-2049,2026-06-08T01:51:58.636647,
AI Solutions Architect Transformation Lead,KMS Technology,"Quận Tân Bình, Quận Hải Châu",You'll love it,,,"Generative AI, LLM, AI, Solution Architecture, Software Architecture, English","Top 3 Reasons To Join Us
Inspired Leadership Team and Talented Colleagues 
Attractive Salary and Benefits
Hybrid mode available and flexible working time
The Job AI-Native Engineering Practice - Technical Ownership: Own and continuously evolve KMS's AI-native SDLC operating model at KMS: agent workflow designs, verification gates, context management standards, and eval frameworks Build and lead multi-agent systems using orchestration layers such as Claude Code, GitHub Copilot Workspace, Curs","Perks You'll Enjoy Working in one of the Best Places to Work in Vietnam Building large-scale & global software products Working & growing with Passionate & Talented Team Diverse career opportunities with Software Services, Software Product Development, IT Solutions & Consulting Flexible working time Various training on hot-trend technologies, best practices and soft skills Company trip, big year-end party, team building, etc. Fitness & sport activities: football, tennis, table tennis, badminton,",FULL_TIME,Information Technology,2026-05-26,2026-05-28,2026-06-30,ITviec (Wayback),https://itviec.com/it-jobs/ai-solutions-architect-transformation-lead-kms-technology-2717,2026-06-08T01:38:11.544330,
Chuyen vien Quan tri co so du lieu Data Engineer,VRB,Quận Hoàn Kiếm,You'll love it,,,"Data Engineer, Database, SQL, Unix, Linux, Business Analysis","Top 3 Reasons To Join Us
Môi trường làm việc năng động
Chế độ phúc lợi đầy đủ của Ngân hàng
Thu nhập xứng đáng, thưởng tối thiểu 2 tháng,dự án
The Job - Chịu trách nhiệm quản lý, quản trị các hệ thống cơ sở dữ liệu (Oracle, Ms SQL Server, My SQL, PostgreSQL, …); - Quản trị và vận hành các hệ thống cơ sở dữ liệu chính và dự phòng đảm bảo sự an toàn, tính sẵn sàng và tính toàn vẹn của cơ sở dữ liệu; Theo dõi SLA liên quan đến hệ thống CSDL; - Giám sát sao lưu/ clustering/ mirror/ replication v","Hưởng lương hấp dẫn, phù hợp với năng lực và kinh nghiệm. Làm việc và phát triển trong môi trường trẻ trung, năng động và luôn giàu nhiệt huyết Có cơ hội thăng tiến cao, được làm việc trong môi trường thân thiện, sáng tạo và phát triển. Được tham gia các chương trình đào tạo nghiệp vụ của Ngân hàng. Được chi bổ sung thu nhập theo kết quả làm việc, vị trí công việc và hưởng các cơ chế khuyến khích theo quy định của VRB. Du lịch - Nghỉ dưỡng - Team building hằng năm. Khám sức khỏe định kỳ và chế đ",FULL_TIME,Information Technology,2026-05-26,2026-05-28,2026-06-30,ITviec (Wayback),https://itviec.com/it-jobs/chuyen-vien-quan-tri-co-so-du-lieu-dba-vrb-4906,2026-06-08T01:41:40.683875,
"Front-End Developer ReactJS, React Native, JavaScript",Rexy Technology,Quận 7,You'll love it,,,"ReactJS, CSS 3, API, HTML5, JavaScript, React Native","Top 3 Reasons To Join Us

The Job We’re looking for a highly skilled Front-End Developer with 3-5 years of professional experience who can craft polished web and mobile experiences. You will work closely with designers and back-end engineers to build user-facing features using React and React Native, ensuring seamless functionality across browsers and platforms. A strong grasp of HTML, CSS and JavaScript, together with collaboration skills and a focus on user-centered design, are essential for","Impactful work: Your code will directly influence the user experience of our products, from web to mobile, and will be seen and used by thousands of customers. Growth & learning: We invest in our people through training, conferences and mentorship. You’ll have opportunities to learn and adopt new technologies and frameworks. Collaborative culture: Work alongside passionate engineers, designers and product managers who value open communication and knowledge sharing. Competitive benefits: We offer",FULL_TIME,Information Technology,2026-05-26,2026-05-26,2026-06-30,ITviec (Wayback),https://itviec.com/it-jobs/front-end-developer-reactjs-react-native-javascript-rexy-technology-5925,2026-06-08T01:45:06.060487,
"HR - Fullstack Developer ERP Fusion, Java/ Python, AI",Ngân Hàng Á Châu | ACB,Quận 3,You'll love it,,,"Java, AI, Enterprise Architecture, Python, ERP, Oracle","Top 3 Reasons To Join Us
13 Monthly Base Salary
Training
Recorgnition
The Job Tham gia phân tích, thiết kế, xây dựng và phát triển các ứng dụng phần mềm. Tham gia phát triển các API, tích hợp hệ thống và dịch vụ bên thứ ba. Xây dựng giao diện người dùng thân thiện, tối ưu hiệu suất và trải nghiệm (UX/UI). Thiết kế, xây dựng và tối ưu cơ sở dữ liệu (SQL/NoSQL) cho hệ thống. Phối hợp với các bộ phận khác (QA, Infra, BA, DevOps) trong quy trình phát triển sản phẩm. Tham gia nghiên cứu, áp dụng ",• Average 15 Monthly Base salary per year • ACB Health Care. • Meal Allowance. • Preferential loan as regulated by ACB • Yearly Medical Checkup & Team building activities. • Professional and Transparent Working Environment,FULL_TIME,Information Technology,2026-05-26,2026-05-28,2026-06-30,ITviec (Wayback),https://itviec.com/it-jobs/fullstack-developer-erp-fusion-java-python-ai-ngan-hang-a-chau-acb-5619,2026-06-08T01:46:42.843936,
"Junior Test Developer C#, Python, Linux, Networking ",Motorola Solutions,Thành phố Thủ Đức,You'll love it,,,"Python, C#, Networking, PowerShell, Linux, Fresher Accepted","Top 3 Reasons To Join Us

The Job At Motorola Solutions we are helping solve some of the biggest challenges around safety and physical security by developing advanced artificial intelligence (AI) technologies and products that are used to help keep people, businesses, and cities around the world safer. Motorola Solution’s Video Division designs, develops, and manufactures advanced AI, video analytics, network video management software and hardware, surveillance cameras, and access control solu","Compensation & bonus: 13th & 14th salary, AIP bonus, Holidays, Tet, and Long year service … Social insurance, Health insurance, Unemployment insurance: by Social Insurance and Labor Law The regime of annual leave, company trip, and checkup examination Award for marriage, newborn We have AON insurance package for employee, spouse, and children every year You will be trained, learned & work with the best technical managers who help you improve various dev skills & career path You’ll love working i",FULL_TIME,Information Technology,2026-05-26,2026-05-26,2026-06-30,ITviec (Wayback),https://itviec.com/it-jobs/junior-test-developer-c-python-linux-networking-motorola-solutions-2851,2026-06-08T01:51:11.984809,
